dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002101,0.305000,0.002201,0.088060,1.761200,35.223997,0.000000
0.050000,0.010907,0.305000,0.011007,0.176120,1.761200,-0.000000,0.000000
0.050000,0.028519,0.305000,0.028619,0.352240,3.522400,35.223997,0.000000
0.050000,0.054937,0.305000,0.055037,0.528360,3.522400,0.000000,0.000000
0.050000,0.090161,0.305000,0.090261,0.704480,3.522400,0.000000,0.000000
0.050000,0.134191,0.305000,0.134291,0.880600,3.522400,-0.000000,0.000000
0.050000,0.187027,0.305000,0.187127,1.056720,3.522400,0.000000,0.000000
0.050000,0.248669,0.305000,0.248769,1.232840,3.522400,-0.000000,0.000000
0.050000,0.319117,0.305000,0.319217,1.408960,3.522400,-0.000000,0.000000
0.050000,0.398371,0.305000,0.398471,1.585080,3.522400,-0.000000,0.000000
0.050000,0.486431,0.305000,0.486531,1.761200,3.522400,0.000000,0.000000
0.050000,0.583297,0.305000,0.583397,1.937320,3.522400,0.000000,0.000000
0.050000,0.688969,0.305000,0.689069,2.113440,3.522400,0.000000,0.000000
0.050000,0.803447,0.305000,0.803547,2.289560,3.522400,-0.000000,0.000000
0.050000,0.926731,0.305000,0.926831,2.465680,3.522400,-0.000000,0.000000
0.050000,1.058821,0.305000,1.058921,2.641800,3.522400,-0.000000,0.000000
0.050000,1.199717,0.305000,1.199817,2.817920,3.522400,0.000000,0.000000
0.050000,1.349419,0.305000,1.349519,2.994040,3.522400,-0.000000,0.000000
0.050000,1.507927,0.305000,1.508027,3.170160,3.522400,0.000000,0.000000
0.050000,1.675241,0.305000,1.675341,3.346280,3.522400,0.000000,0.000000
0.050000,1.851361,0.305000,1.851461,3.522400,3.522400,-0.000000,0.000000
0.050000,2.036287,0.305000,2.036387,3.698520,3.522400,0.000000,0.000000
0.050000,2.230019,0.305000,2.230119,3.874640,3.522400,0.000000,0.000000
0.050000,2.432557,0.305000,2.432657,4.050760,3.522400,-0.000000,0.000000
0.050000,2.643901,0.305000,2.644001,4.226880,3.522400,0.000000,0.000000
0.050000,2.864051,0.305000,2.864151,4.403000,3.522400,-0.000000,0.000000
0.050000,3.093007,0.305000,3.093107,4.579120,3.522400,-0.000000,0.000000
0.050000,3.330769,0.305000,3.330869,4.755240,3.522400,0.000000,0.000000
0.050000,3.577337,0.305000,3.577437,4.931360,3.522400,-0.000000,0.000000
0.050000,3.830510,0.305000,3.830610,5.063450,2.641800,-17.611998,0.000000
0.050000,4.085884,0.305000,4.085984,5.107480,0.880600,-35.223997,0.000000
0.050000,4.341258,0.305000,4.341358,5.107480,0.000000,-17.611998,0.000000
0.050000,4.596632,0.305000,4.596732,5.107480,-0.000000,-0.000000,0.000000
0.050000,4.852006,0.305000,4.852106,5.107480,0.000000,0.000000,0.000000
0.050000,5.107380,0.305000,5.107480,5.107480,0.000000,0.000000,0.000000
0.050000,5.362754,0.305000,5.362854,5.107480,0.000000,0.000000,0.000000
0.050000,5.618127,0.305000,5.618227,5.107480,0.000000,-0.000000,0.000000
0.050000,5.873501,0.305000,5.873601,5.107480,0.000000,-0.000000,0.000000
0.050000,6.128875,0.305000,6.128975,5.107480,-0.000000,-0.000000,0.000000
0.050000,6.382397,0.305000,6.382497,5.070435,-0.740893,-14.817867,0.000000
0.050000,6.630013,0.305000,6.630113,4.952316,-2.362387,-32.429866,0.000000
0.050000,6.869172,0.305000,6.869272,4.783181,-3.382693,-20.406130,0.000000
0.050000,7.099525,0.305000,7.099625,4.607061,-3.522400,-2.794131,0.000000
0.050000,7.321072,0.305000,7.321172,4.430941,-3.522400,-0.000000,0.000000
0.050000,7.533813,0.305000,7.533913,4.254821,-3.522400,0.000000,0.000000
0.050000,7.737748,0.305000,7.737848,4.078701,-3.522400,0.000000,0.000000
0.050000,7.932877,0.305000,7.932977,3.902581,-3.522400,-0.000000,0.000000
0.050000,8.119200,0.305000,8.119300,3.726461,-3.522400,0.000000,0.000000
0.050000,8.296717,0.305000,8.296817,3.550341,-3.522400,-0.000000,0.000000
0.050000,8.465428,0.305000,8.465528,3.374221,-3.522400,-0.000000,0.000000
0.050000,8.625333,0.305000,8.625433,3.198101,-3.522400,0.000000,0.000000
0.050000,8.776432,0.305000,8.776532,3.021981,-3.522400,0.000000,0.000000
0.050000,8.918726,0.305000,8.918826,2.845861,-3.522400,-0.000000,0.000000
0.050000,9.052213,0.305000,9.052313,2.669741,-3.522400,-0.000000,0.000000
0.050000,9.176894,0.305000,9.176994,2.493621,-3.522400,0.000000,0.000000
0.050000,9.292769,0.305000,9.292869,2.317501,-3.522400,0.000000,0.000000
0.050000,9.399838,0.305000,9.399938,2.141381,-3.522400,-0.000000,0.000000
0.050000,9.498101,0.305000,9.498201,1.965261,-3.522400,0.000000,0.000000
0.050000,9.587558,0.305000,9.587658,1.789141,-3.522400,-0.000000,0.000000
0.050000,9.668209,0.305000,9.668309,1.613021,-3.522400,0.000000,0.000000
0.050000,9.740054,0.305000,9.740154,1.436901,-3.522400,0.000000,0.000000
0.050000,9.803093,0.305000,9.803193,1.260781,-3.522400,0.000000,0.000000
0.050000,9.857326,0.305000,9.857426,1.084661,-3.522400,0.000000,0.000000
0.050000,9.902753,0.305000,9.902853,0.908541,-3.522400,0.000000,0.000000
0.050000,9.939374,0.305000,9.939474,0.732421,-3.522400,-0.000000,0.000000
0.050000,9.967189,0.305000,9.967289,0.556301,-3.522400,-0.000000,0.000000
0.050000,9.986198,0.305000,9.986298,0.380181,-3.522400,0.000000,0.000000
0.050000,9.996401,0.305000,9.996501,0.204061,-3.522400,0.000000,0.000000
0.050000,9.999651,0.305000,9.999751,0.064986,-2.781506,14.817867,0.000000
0.050000,10.000000,0.305000,10.000100,0.006985,-1.160013,32.429866,0.000000
0.050000,10.000000,0.305000,10.000100,0.000000,-0.139707,20.406130,0.000000
